102 Dalmatians,2000,35 Metascore,Kevin Lima,$66.96M
Margin Call,2011,76 Metascore,J.C. Chandor,$49.03M
Maria Full of Grace,2004,87 Metascore,Joshua Marston,$56.82M
Marie Antoinette,2006,65 Metascore,Sofia Coppola,$31.84M
Marriage Story,2019,94 Metascore,Noah Baumbach,$100.49M
Marshall,2017,66 Metascore,Reginald Hudlin,$132.07M
Mary Poppins Returns,2018,66 Metascore,Rob Marshall,$0.81M
Mary Queen of Scots,2018,60 Metascore,Josie Rourke,$64.94M
Master and Commander: The Far Side of the World,2003,81 Metascore,Peter Weir,$16.65M
Match Point,2005,72 Metascore,Woody Allen,$248.76M
Meet the Parents,2000,73 Metascore,Jay Roach,$28.78M
Memento,2000,83 Metascore,Christopher Nolan,$75.61M
Memoirs of a Geisha,2005,54 Metascore,Rob Marshall,$2.01M
Michael Clayton,2007,82 Metascore,Tony Gilroy,$34.47M
Midnight in Paris,2011,81 Metascore,Woody Allen,$73.66M
Milk,I 2008,83 Metascore,Gus Van Sant,$31.27M
Million Dollar Baby,2004,86 Metascore,Clint Eastwood,$289.92M
Minari,2020,89 Metascore,Lee Isaac Chung,$27.85M
Minority Report,2002,80 Metascore,Steven Spielberg,$45.51M
Mirai,2018,81 Metascore,Mamoru Hosoda,$57.39M
Mirror Mirror,I 2012,46 Metascore,Tarsem Singh,$3.96M
Missing Link,2019,68 Metascore,Chris Butler,$11.03M
Moana,I 2016,81 Metascore,Ron Clements,$7.22M
Molly's Game,2017,71 Metascore,Aaron Sorkin,$47.40M
Moneyball,2011,87 Metascore,Bennett Miller,$14.86M
Monsieur Lazhar,2011,82 Metascore,Philippe Falardeau,$241.44M
Monster,2003,74 Metascore,Patty Jenkins,$14.60M
Monster House,2006,68 Metascore,Gil Kenan,$90.14M
Monster's Ball,2001,69 Metascore,Marc Forster,$32.38M
"Monsters, Inc.",2001,79 Metascore,Pete Docter,$24.00M
Moonlight,I 2016,99 Metascore,Barry Jenkins,$6.17M
Moonrise Kingdom,2012,84 Metascore,Wes Anderson,$74.28M
Moulin Rouge!,2001,66 Metascore,Baz Luhrmann,$1.06M
Mr. Turner,2014,94 Metascore,Mike Leigh,$160.87M
Mrs. Harris Goes to Paris,2022,70 Metascore,Anthony Fabian,$10.66M
Mrs. Henderson Presents,2005,71 Metascore,Stephen Frears,$95.67M
Mudbound,2017,85 Metascore,Dee Rees,$18.32M
Mulan,2020,66 Metascore,Niki Caro,$17.51M
Mulholland Drive,2001,86 Metascore,David Lynch,$45.51M
Munich,2005,74 Metascore,Steven Spielberg,$9.44M
Music of the Heart,1999,54 Metascore,Wes Craven,$142.50M
My Big Fat Greek Wedding,2002,62 Metascore,Joel Zwick,$61.56M
My Week with Marilyn,2011,65 Metascore,Simon Curtis,$56.00M
Mystic River,2003,84 Metascore,Clint Eastwood,$1.45M
News of the World,2020,73 Metascore,Paul Greengrass,$100.01M
Nightcrawler,2014,76 Metascore,Dan Gilroy,$198.54M
Nightmare Alley,2021,70 Metascore,Guillermo del Toro,$4.45M
Nine,2009,49 Metascore,Rob Marshall,$21.02M
Nowhere in Africa,2001,72 Metascore,Caroline Link,$37.71M
No Country for Old Men,2007,92 Metascore,Ethan Coen,$2.53M
No Man's Land,I 2001,84 Metascore,Danis Tanovic,$309.42M
No Time to Die,2021,68 Metascore,Cary Joji Fukunaga,$423.32M
Nocturnal Animals,2016,67 Metascore,Tom Ford,$305.41M
Nomadland,2020,91 Metascore,Chloé Zhao,$8.60M
Norbit,2007,27 Metascore,Brian Robbins,$60.67M
North Country,2005,68 Metascore,Niki Caro,$47.57M
Notes on a Scandal,2006,73 Metascore,Richard Eyre,$38.41M
"O Brother, Where Art Thou?",2000,69 Metascore,Joel Coen,$61.00M
Once,I 2007,90 Metascore,John Carney,$126.48M
Once Upon a Time in Hollywood,2019,83 Metascore,Quentin Tarantino,$149.26M
One Night in Miami...,2020,83 Metascore,Regina King,$168.46M
Onward,I 2020,61 Metascore,Dan Scanlon,$7.06M
Over the Moon,2020,60 Metascore,Glen Keane,$14.50M
ParaNorman,2012,72 Metascore,Chris Butler,$2.23M
Paradise Now,2005,71 Metascore,Hany Abu-Assad,$12.80M
Passengers,I 2016,41 Metascore,Morten Tyldum,$201.09M
Pearl Harbor,2001,44 Metascore,Michael Bay,$123.48M
Persepolis,2007,90 Metascore,Vincent Paronnaud,$206.45M
Phantom Thread,2017,90 Metascore,Paul Thomas Anderson,$75.33M
Philomena,2013,77 Metascore,Stephen Frears,$54.72M
Pieces of April,2003,70 Metascore,Peter Hedges,$137.69M
Pieces of a Woman,2020,66 Metascore,Kornél Mundruczó,$85.47M
Pirates of the Caribbean: At World's End,2007,50 Metascore,Gore Verbinski,$3.64M
Pirates of the Caribbean: Dead Man's Chest,2006,53 Metascore,Gore Verbinski,$22.91M
Pirates of the Caribbean: The Curse of the Black Pearl,2003,63 Metascore,Gore Verbinski,$143.62M
Pollock,2000,77 Metascore,Ed Harris,$176.76M
Poseidon,2006,50 Metascore,Wolfgang Petersen,$104.45M
Precious,II 2009,78 Metascore,Lee Daniels,$96.37M
Pride & Prejudice,2005,82 Metascore,Joe Wright,$532.18M
Prisoners,2013,70 Metascore,Denis Villeneuve,$11.96M
Prometheus,I 2012,64 Metascore,Ridley Scott,$14.68M
Promising Young Woman,2020,72 Metascore,Emerald Fennell,$118.31M
Puss in Boots,2011,65 Metascore,Chris Miller,$83.30M
Puss in Boots: The Last Wish,2022,73 Metascore,Joel Crawford,$120.28M
Quills,2000,70 Metascore,Philip Kaufman,$52.08M
"Quo Vadis, Aida?",2020,97 Metascore,Jasmila Zbanic,$6.95M
RRR,2022,83 Metascore,S.S. Rajamouli,$8.29M
Rabbit Hole,2010,76 Metascore,John Cameron Mitchell,$224.54M
Rachel Getting Married,2008,85 Metascore,Jonathan Demme,$160.86M
Ralph Breaks the Internet,2018,71 Metascore,Phil Johnston,$19.38M
Rango,2011,75 Metascore,Gore Verbinski,$209.03M
Ratatouille,2007,96 Metascore,Brad Bird,$267.67M
Ray,I 2004,73 Metascore,Taylor Hackford,$436.47M
Raya and the Last Dragon,2021,74 Metascore,Don Hall,$46.89M
Ready Player One,2018,64 Metascore,Steven Spielberg,$71.50M
Real Steel,2011,56 Metascore,Shawn Levy,$7.10M
Requiem for a Dream,2000,71 Metascore,Darren Aronofsky,$132.09M
Revolutionary Road,2008,69 Metascore,Sam Mendes,$304.36M
Richard Jewell,2019,68 Metascore,Clint Eastwood,$101.07M
Rio,2011,63 Metascore,Carlos Saldanha,$141.32M
Rise of the Planet of the Apes,2011,68 Metascore,Rupert Wyatt,$14.38M
Road to Perdition,2002,72 Metascore,Sam Mendes,$155.33M
Rocketman,I 2019,69 Metascore,Dexter Fletcher,$213.77M
Rogue One: A Star Wars Story,2016,65 Metascore,Gareth Edwards,$0.30M
"Roman J. Israel, Esq.",2017,58 Metascore,Dan Gilroy,$124.73M
Song of the Sea,2014,85 Metascore,Tomm Moore,$0.86M
Soul,2020,83 Metascore,Pete Docter,$52.04M
Sound of Metal,2019,82 Metascore,Darius Marder,$90.46M
"South Park: Bigger, Longer & Uncut",1999,73 Metascore,Trey Parker,$200.07M
Space Cowboys,2000,73 Metascore,Clint Eastwood,$403.71M
Spectre,I 2015,60 Metascore,Sam Mendes,$373.59M
Spencer,2021,76 Metascore,Pablo Larraín,$190.24M
Spider-Man,2002,73 Metascore,Sam Raimi,$804.75M
Spider-Man 2,2004,83 Metascore,Sam Raimi,$73.28M
Spider-Man: Into the Spider-Verse,2018,87 Metascore,Bob Persichetti,$45.06M
Spider-Man: No Way Home,2021,71 Metascore,Jon Watts,$257.73M
Spirit: Stallion of the Cimarron,2002,52 Metascore,Kelly Asbury,$158.85M
Spotlight,I 2015,93 Metascore,Tom McCarthy,$228.78M
Star Trek,2009,82 Metascore,J.J. Abrams,$474.54M
Star Trek Beyond,2016,68 Metascore,Justin Lin,$310.68M
Star Trek Into Darkness,2013,72 Metascore,J.J. Abrams,$380.26M
Star Wars: Episode I - The Phantom Menace,1999,51 Metascore,George Lucas,$515.20M
Star Wars: Episode II - Attack of the Clones,2002,54 Metascore,George Lucas,$936.66M
Star Wars: Episode III - Revenge of the Sith,2005,68 Metascore,George Lucas,$620.18M
Star Wars: Episode IX - The Rise of Skywalker,2019,53 Metascore,J.J. Abrams,$17.77M
Star Wars: Episode VII - The Force Awakens,2015,80 Metascore,J.J. Abrams,$18.75M
Star Wars: Episode VIII - The Last Jedi,2017,84 Metascore,Rian Johnson,$161.20M
Steve Jobs,2015,82 Metascore,Danny Boyle,$140.04M
Still Alice,2014,72 Metascore,Richard Glatzer,$325.10M
Straight Outta Compton,2015,72 Metascore,F. Gary Gray,$125.07M
Stuart Little,1999,61 Metascore,Rob Minkoff,$200.08M
Suicide Squad,2016,40 Metascore,David Ayer,$58.87M
Sully,2016,74 Metascore,Clint Eastwood,$52.90M
Superman Returns,2006,72 Metascore,Bryan Singer,$4.20M
Surf's Up,2007,64 Metascore,Ash Brannon,$50.82M
Sweeney Todd: The Demon Barber of Fleet Street,2007,83 Metascore,Tim Burton,$0.01M
Sweet and Lowdown,1999,70 Metascore,Woody Allen,$200.82M
Syriana,2005,76 Metascore,Stephen Gaghan,$171.09M
As It Is in Heaven,2004,71 Metascore,Kay Pollak,$218.82M
Tangled,2010,79 Metascore,Nathan Greno,$58.46M
Tarzan,1999,62 Metascore,Chris Buck,$77.59M
Ted,2012,69 Metascore,Seth MacFarlane,$0.43M
Tell It Like a Woman,2022,68 Metascore,Silvia Carobbio,$3.90M
Tenet,2020,42 Metascore,Christopher Nolan,$623.28M
The Adventures of Tintin,2011,68 Metascore,Steven Spielberg,$102.61M
The Affair of the Necklace,2001,69 Metascore,Charles Shyer,$369.35M
The Assassination of Jesse James by the Coward Robert Ford,2007,77 Metascore,Andrew Dominik,$70.26M
The Avengers,2012,79 Metascore,Joss Whedon,$42.87M
The Aviator,2004,87 Metascore,Martin Scorsese,$22.52M
The Ballad of Buster Scruggs,2018,72 Metascore,Ethan Coen,$255.96M
The Banshees of Inisherin,2022,81 Metascore,Martin McDonagh,$21.49M
The Batman,2022,86 Metascore,Matt Reeves,$175.00M
The Big Short,2015,49 Metascore,Adam McKay,$227.47M
The Big Sick,2017,53 Metascore,Michael Showalter,$50.84M
The Black Dahlia,2006,53 Metascore,Brian De Palma,$0.31M
The Blind Side,2009,50 Metascore,John Lee Hancock,$0.18M
The Book Thief,2013,85 Metascore,Brian Percival,$61.33M
The Boss Baby,2017,61 Metascore,Tom McGrath,$291.71M
The Bourne Ultimatum,2007,78 Metascore,Paul Greengrass,$57.55M
The Boxtrolls,2014,70 Metascore,Graham Annable,$33.58M
The Breadwinner,2017,40 Metascore,Nora Twomey,$17.87M
The Broken Circle Breakdown,2012,75 Metascore,Felix van Groeningen,$8.24M
The Cell,2000,75 Metascore,Tarsem Singh,$187.17M
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,82 Metascore,Andrew Adamson,$127.51M
The Cider House Rules,1999,59 Metascore,Lasse Hallström,$56.11M
The Constant Gardener,2005,69 Metascore,Fernando Meirelles,$11.11M
The Contender,2000,55 Metascore,Rod Lurie,$534.86M
The Cooler,2003,70 Metascore,Wayne Kramer,$132.38M
The Croods,2013,87 Metascore,Kirk DeMicco,$82.58M
The Curious Case of Benjamin Button,2008,66 Metascore,David Fincher,$124.74M
Wallace & Gromit: The Curse of the Were-Rabbit,2005,84 Metascore,Steve Box,$21.12M
The Danish Girl,2015,85 Metascore,Tom Hooper,$13.82M
The Dark Knight,2008,84 Metascore,Christopher Nolan,$89.30M
The Departed,2006,62 Metascore,Martin Scorsese,$10.66M
The Descendants,2011,76 Metascore,Alexander Payne,$34.37M
The Devil Wears Prada,2006,62 Metascore,David Frankel,$93.62M
The Disaster Artist,2017,70 Metascore,James Franco,$5.90M
The Duchess,2008,65 Metascore,Saul Dibb,$102.52M
The Emperor's New Groove,2000,55 Metascore,Mark Dindal,$70.11M
The End of the Affair,1999,84 Metascore,Neil Jordan,$59.95M
The Eyes of Tammy Faye,2021,88 Metascore,Michael Showalter,$59.10M
The Fabelmans,2022,91 Metascore,Steven Spielberg,$144.84M
The Father,I 2020,79 Metascore,Florian Zeller,$174.34M
The Favourite,2018,92 Metascore,Yorgos Lanthimos,$136.80M
The Fighter,I 2010,71 Metascore,David O. Russell,$54.12M
The Florida Project,2017,51 Metascore,Sean Baker,$169.71M
The Girl with the Dragon Tattoo,2011,61 Metascore,David Fincher,$303.00M
The Golden Compass,2007,88 Metascore,Chris Weitz,$255.12M
The Good Shepherd,2006,55 Metascore,Robert De Niro,$258.37M
The Grand Budapest Hotel,2014,48 Metascore,Wes Anderson,$41.68M
The Great Gatsby,2013,61 Metascore,Baz Luhrmann,$50.67M
The Greatest Showman,2017,68 Metascore,Michael Gracey,$17.02M
The Green Mile,1999,62 Metascore,Frank Darabont,$40.96M
The Gruffalo,2009 TV Movie,58 Metascore,Max Lang,$39.87M
The Hateful Eight,2015,59 Metascore,Quentin Tarantino,$7.69M
The Help,2011,66 Metascore,Tate Taylor,$91.13M
The Hobbit: An Unexpected Journey,2012,80 Metascore,Peter Jackson,$261.44M
The Hobbit: The Battle of the Five Armies,2014,74 Metascore,Peter Jackson,$28.97M
The Hobbit: The Desolation of Smaug,2013,95 Metascore,Peter Jackson,$1.23M
The Hours,2002,67 Metascore,Stephen Daldry,$7.00M
The Hurricane,1999,68 Metascore,Norman Jewison,$30.02M
The Hurt Locker,2008,65 Metascore,Kathryn Bigelow,$47.12M
The Ides of March,2011,71 Metascore,George Clooney,$364.00M
The Illusionist,2006,90 Metascore,Neil Burger,$20.81M
The Imaginarium of Doctor Parnassus,2009,84 Metascore,Terry Gilliam,$138.80M
The Imitation Game,2014,75 Metascore,Morten Tyldum,$15.80M
The Incredibles,2004,94 Metascore,Brad Bird,$17.61M
The Insider,1999,52 Metascore,Michael Mann,$111.11M
The Invisible Woman,2013,48 Metascore,Ralph Fiennes,$6.62M
The Irishman,2019,77 Metascore,Martin Scorsese,$257.76M
The Iron Lady,2011,86 Metascore,Phyllida Lloyd,$543.64M
The Judge,2014,88 Metascore,David Dobkin,$8.70M
The Jungle Book,2016,61 Metascore,Jon Favreau,$89.30M
The Kids Are All Right,2010,74 Metascore,Lisa Cholodenko,$315.54M
The King's Speech,2010,55 Metascore,Tom Hooper,$377.85M
The Kite Runner,2007,76 Metascore,Marc Forster,$342.55M
The Last King of Scotland,2006,83 Metascore,Kevin Macdonald,$43.82M
The Last Samurai,2003,55 Metascore,Edward Zwick,$228.43M
The Last Station,2009,82 Metascore,Michael Hoffman,$16.38M
The Last Truck: Closing of a GM Plant,2009 TV Movie,37 Metascore,Steven Bognar,$171.48M
The Lego Movie,2014,92 Metascore,Phil Lord,$0.07M
The Lion King,2019,94 Metascore,Jon Favreau,$155.25M
The Lobster,2015,87 Metascore,Yorgos Lanthimos,$88.63M
The Lone Ranger,2013,86 Metascore,Gore Verbinski,$12.71M
The Lord of the Rings: The Fellowship of the Ring,2001,42 Metascore,Peter Jackson,$370.78M
The Lord of the Rings: The Return of the King,2003,64 Metascore,Peter Jackson,$113.33M
The Lord of the Rings: The Two Towers,2002,80 Metascore,Peter Jackson,$182.62M
The Lost Daughter,2021,86 Metascore,Maggie Gyllenhaal,$51.27M
The Lovely Bones,2009,73 Metascore,Peter Jackson,$32.57M
The Man Who Sold His Skin,2020,77 Metascore,Kaouther Ben Hania,$31.05M
The Martian,2015,58 Metascore,Ridley Scott,$183.37M
The Master,2012,81 Metascore,Paul Thomas Anderson,$81.90M
The Matrix,1999,48 Metascore,Lana Wachowski,$53.09M
The Messenger,I 2009,75 Metascore,Oren Moverman,$104.40M
The Midnight Sky,2020,69 Metascore,George Clooney,$163.57M
The Mitchells vs the Machines,2021,58 Metascore,Michael Rianda,$56.44M
The Mummy,1999,47 Metascore,Stephen Sommers,$12.99M
The Muppets,2011,63 Metascore,James Bobin,$34.19M
The New World,2005,59 Metascore,Terrence Malick,$183.64M
The One and Only Ivan,2020,40 Metascore,Thea Sharrock,$52.36M
The Passion of the Christ,2004,85 Metascore,Mel Gibson,$6.61M
The Patriot,2000,73 Metascore,Roland Emmerich,$0.69M
The Perfect Storm,2000,61 Metascore,Wolfgang Petersen,$6.00M
The Phantom of the Opera,2004,83 Metascore,Joel Schumacher,$63.86M
The Pianist,2002,89 Metascore,Roman Polanski,$293.51M
The Pirates! Band of Misfits,2012,66 Metascore,Peter Lord,$96.96M
The Polar Express,2004,73 Metascore,Robert Zemeckis,$1.50M
The Post,2017,64 Metascore,Steven Spielberg,$7.36M
The Power of the Dog,2021,90 Metascore,Jane Campion,$6.20M
The Prestige,2006,84 Metascore,Christopher Nolan,$81.30M
The Princess and the Frog,2009,58 Metascore,Ron Clements,$0.28M
The Pursuit of Happyness,2006,76 Metascore,Gabriele Muccino,$35.89M
The Queen,2006,76 Metascore,Stephen Frears,$56.68M
The Quiet American,2002,85 Metascore,Phillip Noyce,$92.19M
The Reader,2008,74 Metascore,Stephen Daldry,$13.30M
The Revenant,I 2015,81 Metascore,Alejandro G. Iñárritu,$114.20M
The Royal Tenenbaums,2001,79 Metascore,Wes Anderson,$9.42M
The Savages,2007,87 Metascore,Tamara Jenkins,$2.70M
The Sea Beast,2022,64 Metascore,Chris Williams,$9.60M
The Secret of Kells,2009,95 Metascore,Tomm Moore,$40.11M
The Sessions,2012,73 Metascore,Ben Lewin,$116.90M
The Shape of Water,2017,82 Metascore,Guillermo del Toro,$61.98M
The Sixth Sense,1999,86 Metascore,M. Night Shyamalan,$26.24M
The Social Network,2010,76 Metascore,David Fincher,$11.00M
The Square,2017,43 Metascore,Ruben Östlund,$0.28M
The Squid and the Whale,2005,71 Metascore,Noah Baumbach,$40.22M
The Straight Story,1999,42 Metascore,David Lynch,$4.60M
The Talented Mr. Ripley,1999,74 Metascore,Anthony Minghella,$54.51M
The Tempest,I 2010,85 Metascore,Julie Taymor,$1.08M
The Theory of Everything,2014,76 Metascore,James Marsh,$24.15M
The Time Machine,2002,75 Metascore,Simon Wells,$1.92M
The Town,2010,52 Metascore,Ben Affleck,$1.48M
The Tree of Life,2011,44 Metascore,Terrence Malick,$718.73M
The Trial of the Chicago 7,2020,79 Metascore,Aaron Sorkin,$6.20M
The Two Popes,2019,66 Metascore,Fernando Meirelles,$245.85M
The United States vs. Billie Holiday,2021,60 Metascore,Lee Daniels,$415.00M
The Village,2004,76 Metascore,M. Night Shyamalan,$434.04M
The Visitor,I 2007,77 Metascore,Tom McCarthy,$124.12M
The Way Back,I 2010,69 Metascore,Peter Weir,$76.63M
The Whale,2022,75 Metascore,Darren Aronofsky,$9.02M
The White Tiger,2021,43 Metascore,Ramin Bahrani,$319.25M
The Wife,I 2017,80 Metascore,Björn Runge,$352.39M
The Wild Thornberrys,2002,64 Metascore,Cathy Malkasian,$402.11M
The Wolf of Wall Street,2013,80 Metascore,Martin Scorsese,$38.18M
The Wolfman,2010,93 Metascore,Joe Johnston,$153.71M
The Wrestler,2008,70 Metascore,Darren Aronofsky,$172.06M
The Young Victoria,2009,88 Metascore,Jean-Marc Vallée,$110.52M
Theeb,2014,92 Metascore,Naji Abu Nowar,$133.38M
There Will Be Blood,2007,85 Metascore,Paul Thomas Anderson,$171.24M
Thirteen,2003,57 Metascore,Catherine Hardwicke,$7.86M
"Three Billboards Outside Ebbing, Missouri",2017,84 Metascore,Martin McDonagh,$2.91M
Timbuktu,2014,93 Metascore,Abderrahmane Sissako,$1.28M
Tinker Tailor Soldier Spy,2011,78 Metascore,Tomas Alfredson,$77.09M
Titus,1999,90 Metascore,Julie Taymor,$115.64M
To Leslie,2022,88 Metascore,Michael Morris,$0.44M
Toni Erdmann,2016,92 Metascore,Maren Ade,$0.31M
Top Gun: Maverick,2022,84 Metascore,Joseph Kosinski,$52.80M
Topsy-Turvy,1999,86 Metascore,Mike Leigh,$31.57M
Toy Story 2,1999,69 Metascore,John Lasseter,$81.56M
Toy Story 3,2010,66 Metascore,Lee Unkrich,$293.00M
Toy Story 4,2019,61 Metascore,Josh Cooley,$83.82M
Traffic,2000,42 Metascore,Steven Soderbergh,$100.61M
Training Day,2001,35 Metascore,Antoine Fuqua,$0.05M
Transamerica,2005,60 Metascore,Duncan Tucker,$3.34M
Transformers,2007,63 Metascore,Michael Bay,$3.75M
Transformers: Dark of the Moon,2011,55 Metascore,Michael Bay,$47.84M
Transformers: Revenge of the Fallen,2009,49 Metascore,Michael Bay,$23.22M
Treasure Planet,2002,71 Metascore,Ron Clements,$22.25M
Triangle of Sadness,2022,56 Metascore,Ruben Östlund,$0.58M
Trolls,2016,80 Metascore,Mike Mitchell,$223.81M
TRON: Legacy,2010,60 Metascore,Joseph Kosinski,$119.52M
Tropic Thunder,2008,70 Metascore,Ben Stiller,$134.51M
Troy,2004,75 Metascore,Wolfgang Petersen,$79.88M
True Grit,2010,83 Metascore,Ethan Coen,$146.88M
Trumbo,2015,92 Metascore,Jay Roach,$234.28M
Tsotsi,2005,62 Metascore,Gavin Hood,$13.66M
Tumbleweeds,1999,59 Metascore,Gavin O'Connor,$3.22M
Turning Red,2022,75 Metascore,Domee Shi,$20.78M
Tár,2022,63 Metascore,Todd Field,$13.09M
U-571,2000,63 Metascore,Jonathan Mostow,$37.88M
Unbroken,I 2014,90 Metascore,Angelina Jolie,$6.53M
Land of Mine,2015,69 Metascore,Martin Zandvliet,$132.42M
A Cat in Paris,2010,88 Metascore,Jean-Loup Felicioli,$19.39M
Unfaithful,2002,83 Metascore,Adrian Lyne,$189.42M
United 93,2006,45 Metascore,Paul Greengrass,$233.92M
Yesterday,I 2004,85 Metascore,Darrell Roodt,$9.18M
You Can Count on Me,2000,64 Metascore,Kenneth Lonergan,$2.70M
Youth,I 2015,95 Metascore,Paolo Sorrentino,$95.72M
Zero Dark Thirty,2012,78 Metascore,Kathryn Bigelow,$341.27M
Zootopia,2016,50 Metascore,Byron Howard,$0.03M
